"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GO","experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules ",0.103448275862069,0.00812136935311037,0.0208333333333333,12.7377873563218,5.72418683226269,0.00164201115210171,0.0392222899448336,0.0154824828729606,"evm.utg9625.4/evm.utg9625.2/evm.utg363.1",3,"Biological Processes","Acute Experiment"
"GO:0032868","cardiolipin acyl-chain remodeling ",0.0344827586206897,0.000112796796570977,0.5,305.706896551724,17.4420432986383,0.00326852416206946,0.0392222899448336,0.0154824828729606,"evm.utg11814.7",1,"Biological Processes","Acute Experiment"
"GO:0007094","mitotic spindle assembly checkpoint signaling ",0.0344827586206897,0.000225593593141955,0.25,152.853448275862,12.2936042993922,0.00652673229893708,0.0469183478902528,0.0185204004829945,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:0043631","RNA polyadenylation ",0.0344827586206897,0.000338390389712932,0.166666666666667,101.902298850575,10.005199728765,0.00977465581046932,0.0469183478902528,0.0185204004829945,"evm.utg6459.27",1,"Biological Processes","Acute Experiment"
"GO:0050982","detection of mechanical stimulus ",0.0344827586206897,0.000338390389712932,0.166666666666667,101.902298850575,10.005199728765,0.00977465581046932,0.0469183478902528,0.0185204004829945,"evm.utg512.80",1,"Biological Processes","Acute Experiment"
"GO:2000036","regulation of DNA-templated transcription ",0.0344827586206897,0.000563983982854887,0.1,61.1413793103448,7.6996586142143,0.0162397740970188,0.0649590963880753,0.0256417485742402,"evm.utg2849.3",1,"Biological Processes","Acute Experiment"
"GO:0046416","D-amino acid metabolic process ",0.0344827586206897,0.000733179177711353,0.0769230769230769,47.0318302387268,6.71993030642222,0.0210618478554392,0.0679923851532107,0.0268390994025832,"evm.utg35662.1",1,"Biological Processes","Acute Experiment"
"GO:0045087","defense response to virus ",0.0344827586206897,0.000789577575996842,0.0714285714285714,43.6724137931034,6.4648482262279,0.0226641283844036,0.0679923851532107,0.0268390994025832,"evm.utg1571.14",1,"Biological Processes","Acute Experiment"
"GO:0016311","dephosphorylation ",0.0344827586206897,0.000902374372567819,0.0625,38.2133620689655,6.0274070256016,0.0258610965547194,0.0689629241459183,0.0272222068997046,"evm.utg479.60",1,"Biological Processes","Acute Experiment"
"GO:0001822","kidney development ",0.0344827586206897,0.00107156956742429,0.0526315789473684,32.1796733212341,5.50372540748078,0.0306376243952036,0.0703085873590021,0.0277533897469745,"evm.utg512.80",1,"Biological Processes","Acute Experiment"
"GO:0006302","chromosome organization ",0.0344827586206897,0.00112796796570977,0.05,30.5706896551724,5.35546404854581,0.0322247692062093,0.0703085873590021,0.0277533897469745,"evm.utg17372.1",1,"Biological Processes","Acute Experiment"
"GO:0030261","chromosome condensation ",0.0344827586206897,0.00124076476228075,0.0454545454545455,27.7915360501567,5.08925408480759,0.0353915351190869,0.0707830702381738,0.0279406856203317,"evm.utg5417.33",1,"Biological Processes","Acute Experiment"
"GO:0050896","protein phosphorylation ",0.0344827586206897,0.00152275675370819,0.037037037037037,22.6449553001277,4.55559464142062,0.043264739723896,0.0792297522902613,0.03127490221984,"evm.utg1571.14",1,"Biological Processes","Acute Experiment"
"GO:0009410","adipose tissue development ",0.0344827586206897,0.00174835034685015,0.032258064516129,19.7230255839822,4.22291600257219,0.0495185951814133,0.0792297522902613,0.03127490221984,"evm.utg11814.7",1,"Biological Processes","Acute Experiment"
"GO:0030154","cell differentiation ",0.0344827586206897,0.00174835034685015,0.032258064516129,19.7230255839822,4.22291600257219,0.0495185951814133,0.0792297522902613,0.03127490221984,"evm.utg1569.8",1,"Biological Processes","Acute Experiment"
"GO:0006635","fatty acid beta-oxidation ",0.0344827586206897,0.00214313913484857,0.0263157894736842,16.0898366606171,3.76892761765196,0.0603679914700779,0.0853789801296244,0.033702228998536,"evm.utg11814.7",1,"Biological Processes","Acute Experiment"
"GO:0015074","DNA integration ",0.0689655172413793,0.0138176075799447,0.00816326530612245,4.99113300492611,2.54610438370077,0.0604767775918173,0.0853789801296244,0.033702228998536,"evm.utg1256.23/evm.utg334.43",2,"Biological Processes","Acute Experiment"
"GO:0000278","cell division ",0.0344827586206897,0.00321470870227286,0.0175438596491228,10.7265577737447,2.976948844191,0.0892170353955806,0.118956047194107,0.0469563344187266,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:0051301","cell cycle ",0.0344827586206897,0.00383509108341323,0.0147058823529412,8.99137931034483,2.67230586814125,0.105526230738825,0.133296291459569,0.0526169571550929,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:0007154","cell communication ",0.0344827586206897,0.00439907506626812,0.0128205128205128,7.83863837312113,2.44990857705761,0.120107807327309,0.144129368792771,0.0568931718918833,"evm.utg268.25.1.5c22edff",1,"Biological Processes","Acute Experiment"
"GO:0007160","cell-matrix adhesion ",0.0344827586206897,0.00569623822683436,0.0099009900990099,6.05360191191533,2.06147350526201,0.152779684740706,0.174605353989378,0.0689231660484388,"evm.utg2333.11",1,"Biological Processes","Acute Experiment"
"GO:0034765","regulation of monoatomic ion transmembrane transport ",0.0344827586206897,0.00727539337882804,0.00775193798449612,4.73964180700348,1.72538513337571,0.190975151488063,0.208336528896069,0.0822381035116063,"evm.utg816.25",1,"Biological Processes","Acute Experiment"
"GO:0006470","protein dephosphorylation ",0.0344827586206897,0.0119000620382381,0.004739336492891,2.89769570191208,1.12238783059175,0.293511013892311,0.306272362322412,0.120896985127268,"evm.utg989.44.45.2.5c2798c8",1,"Biological Processes","Acute Experiment"
"GO:0016567","protein ubiquitination ",0.0344827586206897,0.014889177147369,0.00378787878787879,2.31596133751306,0.871922996101089,0.352980813820811,0.352980813820811,0.139334531771373,"evm.utg11814.6",1,"Biological Processes","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding ",0.0540540540540541,0.000154942671211652,0.5,348.864864864865,26.3592850840882,1.19704079641188e-05,0.000191526527425901,0.000126004294359146,"utg7127.equina_smart_1282991.mrna2/evm.utg2661.20",2,"Molecular Functions","Acute Experiment"
"GO:0004035","alkaline phosphatase activity ",0.027027027027027,7.74713356058258e-05,0.5,348.864864864865,18.6381071727671,0.00286444073798486,0.0156430577653275,0.010291485371926,"evm.utg479.60",1,"Molecular Functions","Acute Experiment"
"GO:0005044","scavenger receptor activity ",0.108108108108108,0.0161915091416176,0.00956937799043062,6.67683951894478,4.43301184838216,0.00293307333099891,0.0156430577653275,0.010291485371926,"evm.utg1569.8/evm.utg9625.4/evm.utg9625.2/evm.utg363.1",4,"Molecular Functions","Acute Experiment"
"GO:0070403","3-hydroxyacyl-CoA dehydrogenase activity ",0.027027027027027,0.000116207003408739,0.333333333333333,232.576576576577,15.1963717623232,0.00429366579774637,0.0171746631909855,0.0112991205203852,"evm.utg11814.7",1,"Molecular Functions","Acute Experiment"
"GO:0005245","calcium ion binding ",0.027027027027027,0.00131701270529904,0.0294117647058824,20.5214626391097,4.31516497302347,0.0476242628018398,0.123137608954594,0.0810115848385487,"evm.utg816.25",1,"Molecular Functions","Acute Experiment"
"GO:0008483","pyridoxal phosphate binding ",0.027027027027027,0.00131701270529904,0.0294117647058824,20.5214626391097,4.31516497302347,0.0476242628018398,0.123137608954594,0.0810115848385487,"evm.utg30804.6",1,"Molecular Functions","Acute Experiment"
"GO:0071949","catalytic activity ",0.027027027027027,0.00162689804772234,0.0238095238095238,16.6126126126126,3.83630573021199,0.0585050789434965,0.123137608954594,0.0810115848385487,"evm.utg35662.1",1,"Molecular Functions","Acute Experiment"
"GO:0044877","calmodulin binding ",0.027027027027027,0.00182057638673691,0.0212765957446809,14.8453133985049,3.59920704669063,0.0652440654195316,0.123137608954594,0.0810115848385487,"evm.utg11814.7",1,"Molecular Functions","Acute Experiment"
"GO:0004721","metal ion binding ",0.027027027027027,0.00193678339014565,0.02,13.9545945945946,3.47367530344439,0.0692649050369591,0.123137608954594,0.0810115848385487,"evm.utg6459.27",1,"Molecular Functions","Acute Experiment"
"GO:0004197","aminopeptidase activity ",0.027027027027027,0.00367988844127673,0.0105263157894737,7.34452347083926,2.34704155927143,0.127595757924572,0.194695333282156,0.12808903505405,"evm.utg4856.49",1,"Molecular Functions","Acute Experiment"
"GO:0004540","helicase activity ",0.027027027027027,0.00387356678029129,0.01,6.9772972972973,2.26885657055928,0.133853041631482,0.194695333282156,0.12808903505405,"evm.utg2661.21",1,"Molecular Functions","Acute Experiment"
"GO:0004867","coreceptor activity involved in canonical Wnt signaling pathway ",0.027027027027027,0.00460954446854664,0.00840336134453781,5.86327503974563,2.01448943210014,0.157234914030321,0.197994091426154,0.130259270675102,"evm.utg4605.20",1,"Molecular Functions","Acute Experiment"
"GO:0003724","ATP binding ",0.027027027027027,0.00472575147195538,0.00819672131147541,5.71909614532565,1.97936904678931,0.16087019928375,0.197994091426154,0.130259270675102,"evm.utg1571.14",1,"Molecular Functions","Acute Experiment"
