"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GO","experiment"
"GO:0007094","mitotic spindle assembly checkpoint signaling ",0.0833333333333333,0.000225593593141955,0.25,369.395833333333,19.1757548827579,0.00270460474561318,0.0378644664385845,0.0170817141828201,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:2000036","regulation of DNA-templated transcription ",0.0833333333333333,0.000563983982854887,0.1,147.758333333333,12.0804759476628,0.00674894129448667,0.0414191321687517,0.0186853227828955,"evm.utg2849.3",1,"Biological Processes","Acute Experiment"
"GO:0016311","dephosphorylation ",0.0833333333333333,0.000902374372567819,0.0625,92.3489583333333,9.51301976637198,0.0107782384941002,0.0414191321687517,0.0186853227828955,"evm.utg479.60",1,"Biological Processes","Acute Experiment"
"GO:0006302","chromosome organization ",0.0833333333333333,0.00112796796570977,0.05,73.8791666666667,8.48637543898135,0.0134561065549127,0.0414191321687517,0.0186853227828955,"evm.utg17372.1",1,"Biological Processes","Acute Experiment"
"GO:0030261","chromosome condensation ",0.0833333333333333,0.00124076476228075,0.0454545454545455,67.1628787878788,8.08079522685943,0.0147925472031256,0.0414191321687517,0.0186853227828955,"evm.utg5417.33",1,"Biological Processes","Acute Experiment"
"GO:0030154","cell differentiation ",0.0833333333333333,0.00174835034685015,0.032258064516129,47.6639784946237,6.76708082658648,0.0207860177191991,0.0485007080114645,0.0218800186517885,"evm.utg1569.8",1,"Biological Processes","Acute Experiment"
"GO:0000278","cell division ",0.0833333333333333,0.00321470870227286,0.0175438596491228,25.922514619883,4.90441541396329,0.0379132480436064,0.0758264960872128,0.0342074418438554,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:0051301","cell cycle ",0.0833333333333333,0.00383509108341323,0.0147058823529412,21.7291666666667,4.4568647193815,0.0450763633536355,0.0788836358688622,0.035586602647607,"evm.utg10470.24",1,"Biological Processes","Acute Experiment"
"GO:0007154","cell communication ",0.0833333333333333,0.00439907506626812,0.0128205128205128,18.9433760683761,4.13302076192327,0.0515458286482726,0.0801824001195352,0.0361725113321211,"evm.utg268.25.1.5c22edff",1,"Biological Processes","Acute Experiment"
"GO:0007160","cell-matrix adhesion ",0.0833333333333333,0.00569623822683436,0.0099009900990099,14.6295379537954,3.57471193937045,0.0662734137135179,0.0927827791989251,0.0418568928716955,"evm.utg2333.11",1,"Biological Processes","Acute Experiment"
"GO:0034765","regulation of monoatomic ion transmembrane transport ",0.0833333333333333,0.00727539337882804,0.00775193798449612,11.4541343669251,3.10118240560134,0.0839196034025977,0.106806767966943,0.0481835043459891,"evm.utg816.25",1,"Biological Processes","Acute Experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules ",0.0833333333333333,0.00812136935311037,0.00694444444444444,10.2609953703704,2.90381148159984,0.0932466612622859,0.108787771472667,0.0490771901380452,"evm.utg9625.4",1,"Biological Processes","Acute Experiment"
"GO:0006470","protein dephosphorylation ",0.0833333333333333,0.0119000620382381,0.004739336492891,7.00276461295419,2.28271071366274,0.133854233776478,0.144150713297745,0.0650303969764265,"evm.utg989.44.45.2.5c2798c8",1,"Biological Processes","Acute Experiment"
"GO:0015074","DNA integration ",0.0833333333333333,0.0138176075799447,0.00408163265306122,6.03095238095238,2.06354240820671,0.153817048778584,0.153817048778584,0.0693911498249249,"evm.utg1256.23",1,"Biological Processes","Acute Experiment"
"GO:0004035","alkaline phosphatase activity ",0.0769230769230769,7.74713356058258e-05,0.5,992.923076923077,31.4874853751754,0.00100689328330272,0.00503446641651362,0.00105988766663445,"evm.utg479.60",1,"Molecular Functions","Acute Experiment"
"GO:0005245","calcium ion binding ",0.0769230769230769,0.00131701270529904,0.0294117647058824,58.4072398190045,7.51831404142753,0.0169904416275952,0.0226621350260476,0.00477097579495739,"evm.utg816.25",1,"Molecular Functions","Acute Experiment"
"GO:0008483","pyridoxal phosphate binding ",0.0769230769230769,0.00131701270529904,0.0294117647058824,58.4072398190045,7.51831404142753,0.0169904416275952,0.0226621350260476,0.00477097579495739,"evm.utg30804.6",1,"Molecular Functions","Acute Experiment"
"GO:0005044","scavenger receptor activity ",0.153846153846154,0.0161915091416176,0.00478468899521531,9.50165623849834,3.93336783064865,0.0181297080208381,0.0226621350260476,0.00477097579495739,"evm.utg1569.8/evm.utg9625.4",2,"Molecular Functions","Acute Experiment"
"GO:0004725","metal ion binding ",0.0769230769230769,0.00550046482801364,0.00704225352112676,13.9848320693391,3.48262233349273,0.069208650732085,0.069208650732085,0.0145702422593863,"evm.utg989.44.45.2.5c2798c8",1,"Molecular Functions","Acute Experiment"
